2019-04-17 19:27:06,516 p=1186 u=vibakar |  - roles/tomcat was created successfully
2019-04-17 20:18:17,211 p=6429 u=vibakar |  TASK [tomcat : copy bookstore-app dist to tomcat] ******************************
2019-04-17 20:18:22,000 p=6429 u=vibakar |  changed: [local]
2019-04-17 20:18:22,052 p=6429 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-17 20:18:22,359 p=6429 u=vibakar |  changed: [local]
2019-04-17 20:18:22,362 p=6429 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-17 20:18:22,362 p=6429 u=vibakar |  local                      : ok=6    changed=4    unreachable=0    failed=0   
2019-04-18 09:13:55,490 p=8694 u=vibakar |  PLAY [local] *******************************************************************
2019-04-18 09:13:55,501 p=8694 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-18 09:13:56,792 p=8694 u=vibakar |  ok: [local]
2019-04-18 09:13:56,848 p=8694 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-18 09:13:57,203 p=8694 u=vibakar |  ok: [local]
2019-04-18 09:13:57,257 p=8694 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-18 09:13:58,394 p=8694 u=vibakar |  changed: [local]
2019-04-18 09:13:58,448 p=8694 u=vibakar |  TASK [tomcat : configure tomcat port] ******************************************
2019-04-18 09:13:58,912 p=8694 u=vibakar |  changed: [local]
2019-04-18 09:13:58,978 p=8694 u=vibakar |  TASK [tomcat : copy bookstore-app dist to tomcat] ******************************
2019-04-18 09:14:03,883 p=8694 u=vibakar |  changed: [local]
2019-04-18 09:14:03,944 p=8694 u=vibakar |  TASK [tomcat : start tomcat] ***************************************************
2019-04-18 09:14:04,230 p=8694 u=vibakar |  changed: [local]
2019-04-18 09:14:04,234 p=8694 u=vibakar |  PLAY RECAP *********************************************************************
2019-04-18 09:14:04,235 p=8694 u=vibakar |  local                      : ok=6    changed=4    unreachable=0    failed=0   
2019-04-18 09:19:25,065 p=10028 u=vibakar |  PLAY [local] *******************************************************************
2019-04-18 09:19:25,075 p=10028 u=vibakar |  TASK [Gathering Facts] *********************************************************
2019-04-18 09:19:26,371 p=10028 u=vibakar |  ok: [local]
2019-04-18 09:19:26,425 p=10028 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *****************************
2019-04-18 09:19:26,820 p=10028 u=vibakar |  ok: [local]
2019-04-18 09:19:26,874 p=10028 u=vibakar |  TASK [tomcat : Unarchive tomcat] ***********************************************
2019-04-18 09:19:28,001 p=10028 u=vibakar |  changed: [local]
